,Flag,Location,Cases,Deaths,Recov.,"Ref.
",Death Rate,Recovery Rate
104,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/23px-Flag_of_Senegal.svg.png,"Senegal
","15,865",330,"15,465",[160],2.08,97
105,//upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/23px-Flag_of_Sudan.svg.png,"Sudan
","15,839","1,193","9,727",[161][162],7.53,61
106,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/23px-Flag_of_Mozambique.svg.png,"Mozambique
","15,037",124,"13,151",[163],0.82,87
107,//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/23px-Flag_of_Angola.svg.png,"Angola
","14,413",336,"7,273",[164],2.33,50
108,//upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Namibia.svg/23px-Flag_of_Namibia.svg.png,"Namibia
","13,811",145,"13,209",[165],1.05,96
109,//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/23px-Flag_of_French_Polynesia.svg.png,"French Polynesia
","12,978",63,"5,167",[166][167],0.49,40
110,//upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/23px-Flag_of_Guinea.svg.png,"Guinea
","12,798",75,"11,821",[168][169],0.59,92
111,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Latvia.svg/23px-Flag_of_Latvia.svg.png,"Latvia
","12,744",153,"1,557",[170],1.2,12
112,//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Maldives.svg/23px-Flag_of_Maldives.svg.png,"Maldives
","12,608",46,"11,599",[171],0.36,92
113,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,DR Congo,"12,180",327,"11,300",[172],2.68,93
114,//upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/23px-Flag_of_Tajikistan.svg.png,"Tajikistan
","11,854",86,"11,229",[173],0.73,95
115,//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/23px-Flag_of_Jamaica.svg.png,"Jamaica
","10,240",237,"5,481",[174][175],2.31,54
116,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/23px-Flag_of_Cape_Verde.svg.png,"Cape Verde
","10,234",104,"9,649",[176],1.02,94
117,//upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Donetsk_People%27s_Republic.svg/23px-Flag_of_Donetsk_People%27s_Republic.svg.png,Donetsk PR,"9,780",899,"4,597",[177],9.19,47
118,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/23px-Flag_of_Estonia.svg.png,"Estonia
","9,724",88,"5,699",[178][179],0.9,59
119,//upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/23px-Flag_of_Haiti.svg.png,"Haiti
","9,214",232,"7,854",[180],2.52,85
120,//upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Zimbabwe.svg/23px-Flag_of_Zimbabwe.svg.png,"Zimbabwe
","9,172",265,"8,235",[181],2.89,90
121,//upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/20px-Flag_of_Gabon.svg.png,"Gabon
","9,131",59,"8,976",[182],0.65,98
122,//upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Malta.svg/23px-Flag_of_Malta.svg.png,"Malta
","8,924",111,"6,654",[183][184],1.24,75
123,//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/23px-Flag_of_Cyprus.svg.png,Cyprus,"8,456",43,"2,055",[185][186],0.51,24
124,//upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/23px-Flag_of_Mauritania.svg.png,"Mauritania
","8,096",169,"7,573",[187][188],2.09,94
125,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/23px-Flag_of_Cuba.svg.png,Cuba,"7,798",132,"7,307",[189],1.69,94
126,//upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/23px-Flag_of_the_Bahamas.svg.png,Bahamas,"7,395",163,"5,628",[190][191],2.2,76
127,//upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/23px-Flag_of_Syria.svg.png,Syria,"7,154",372,"3,043",[192],5.2,43
128,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/23px-Flag_of_Botswana.svg.png,Botswana,"6,820",27,"5,559",[194],0.4,82
